feature,positions,eligible,games_touching,eligible_games,game_maximum
-1,1044203,686198,9992,9967,5657
0,35176,28080,4326,4034,2202
1,16944,13789,2128,2036,785
2,10801,8904,1344,1308,350
3,8102,6738,996,977,210
4,6500,5410,788,784,122
5,5665,4758,667,665,64
6,5113,4287,603,595,50
7,4591,3875,554,546,72
8,3896,3282,483,481,103
9,2313,1859,380,371,261
10,385,290,120,104,120
