perspective,king_bucket,hmc_feature,input_index,eligible,expected_after_skip
ntm,0,6,6,59,29.5
ntm,0,7,7,52,26.0
ntm,0,8,8,40,20.0
ntm,0,9,9,11,5.5
ntm,0,10,10,4,2.0
ntm,1,0,11,2042,1021.0
ntm,1,1,12,590,295.0
ntm,1,2,13,299,149.5
ntm,1,3,14,179,89.5
ntm,1,4,15,168,84.0
ntm,1,5,16,127,63.5
ntm,1,6,17,112,56.0
ntm,1,7,18,95,47.5
ntm,1,8,19,62,31.0
ntm,1,9,20,38,19.0
ntm,1,10,21,8,4.0
ntm,2,0,22,1057,528.5
ntm,2,1,23,429,214.5
ntm,2,2,24,230,115.0
ntm,2,3,25,165,82.5
ntm,2,4,26,112,56.0
ntm,2,5,27,95,47.5
ntm,2,6,28,88,44.0
ntm,2,7,29,99,49.5
ntm,2,8,30,67,33.5
ntm,2,9,31,43,21.5
ntm,2,10,32,9,4.5
ntm,3,0,33,708,354.0
ntm,3,1,34,306,153.0
ntm,3,2,35,198,99.0
ntm,3,3,36,164,82.0
ntm,3,4,37,104,52.0
ntm,3,5,38,87,43.5
ntm,3,6,39,72,36.0
ntm,3,7,40,70,35.0
ntm,3,8,41,66,33.0
ntm,3,9,42,30,15.0
ntm,3,10,43,6,3.0
ntm,4,0,44,1529,764.5
ntm,4,1,45,587,293.5
ntm,4,2,46,314,157.0
ntm,4,3,47,226,113.0
ntm,4,4,48,143,71.5
ntm,4,5,49,114,57.0
ntm,4,6,50,108,54.0
ntm,4,7,51,107,53.5
ntm,4,8,52,70,35.0
ntm,4,9,53,52,26.0
ntm,4,10,54,6,3.0
ntm,5,0,55,2308,1154.0
ntm,5,1,56,1007,503.5
ntm,5,2,57,549,274.5
ntm,5,3,58,404,202.0
ntm,5,4,59,250,125.0
ntm,5,5,60,251,125.5
ntm,5,6,61,182,91.0
ntm,5,7,62,146,73.0
ntm,5,8,63,116,58.0
ntm,5,9,64,79,39.5
ntm,5,10,65,14,7.0
ntm,6,0,66,1895,947.5
ntm,6,1,67,814,407.0
ntm,6,2,68,488,244.0
ntm,6,3,69,357,178.5
ntm,6,4,70,290,145.0
ntm,6,5,71,218,109.0
ntm,6,6,72,228,114.0
ntm,6,7,73,165,82.5
ntm,6,8,74,130,65.0
ntm,6,9,75,81,40.5
ntm,6,10,76,16,8.0
ntm,7,0,77,1944,972.0
ntm,7,1,78,914,457.0
ntm,7,2,79,585,292.5
ntm,7,3,80,441,220.5
ntm,7,4,81,301,150.5
ntm,7,5,82,271,135.5
ntm,7,6,83,205,102.5
ntm,7,7,84,180,90.0
ntm,7,8,85,160,80.0
ntm,7,9,86,83,41.5
ntm,7,10,87,11,5.5
ntm,8,0,88,2526,1263.0
ntm,8,1,89,1227,613.5
ntm,8,2,90,764,382.0
ntm,8,3,91,484,242.0
ntm,8,4,92,430,215.0
ntm,8,5,93,342,171.0
ntm,8,6,94,265,132.5
ntm,8,7,95,205,102.5
ntm,8,8,96,175,87.5
ntm,8,9,97,104,52.0
ntm,8,10,98,21,10.5
ntm,9,0,99,3957,1978.5
ntm,9,1,100,1966,983.0
ntm,9,2,101,1239,619.5
ntm,9,3,102,890,445.0
ntm,9,4,103,754,377.0
ntm,9,5,104,709,354.5
ntm,9,6,105,615,307.5
ntm,9,7,106,521,260.5
ntm,9,8,107,446,223.0
ntm,9,9,108,235,117.5
ntm,9,10,109,25,12.5
ntm,10,0,110,1372,686.0
ntm,10,1,111,718,359.0
ntm,10,2,112,440,220.0
ntm,10,3,113,348,174.0
ntm,10,4,114,239,119.5
ntm,10,5,115,209,104.5
ntm,10,6,116,213,106.5
ntm,10,7,117,201,100.5
ntm,10,8,118,198,99.0
ntm,10,9,119,94,47.0
ntm,10,10,120,18,9.0
ntm,11,0,121,2775,1387.5
ntm,11,1,122,1572,786.0
ntm,11,2,123,1055,527.5
ntm,11,3,124,827,413.5
ntm,11,4,125,741,370.5
ntm,11,5,126,638,319.0
ntm,11,6,127,567,283.5
ntm,11,7,128,544,272.0
ntm,11,8,129,494,247.0
ntm,11,9,130,270,135.0
ntm,11,10,131,34,17.0
ntm,12,0,132,2709,1354.5
ntm,12,1,133,1592,796.0
ntm,12,2,134,1211,605.5
ntm,12,3,135,1102,551.0
ntm,12,4,136,908,454.0
ntm,12,5,137,806,403.0
ntm,12,6,138,789,394.5
ntm,12,7,139,757,378.5
ntm,12,8,140,617,308.5
ntm,12,9,141,340,170.0
ntm,12,10,142,47,23.5
ntm,13,0,143,1504,752.0
ntm,13,1,144,1069,534.5
ntm,13,2,145,839,419.5
ntm,13,3,146,673,336.5
ntm,13,4,147,543,271.5
ntm,13,5,148,508,254.0
ntm,13,6,149,454,227.0
ntm,13,7,150,438,219.0
ntm,13,8,151,361,180.5
ntm,13,9,152,238,119.0
ntm,13,10,153,39,19.5
ntm,14,0,154,710,355.0
ntm,14,1,155,494,247.0
ntm,14,2,156,383,191.5
ntm,14,3,157,263,131.5
ntm,14,4,158,262,131.0
ntm,14,5,159,236,118.0
ntm,14,6,160,247,123.5
ntm,14,7,161,211,105.5
ntm,14,8,162,204,102.0
ntm,14,9,163,117,58.5
ntm,14,10,164,24,12.0
ntm,15,0,165,284,142.0
ntm,15,1,166,202,101.0
ntm,15,2,167,149,74.5
ntm,15,3,168,111,55.5
ntm,15,4,169,98,49.0
ntm,15,5,170,92,46.0
ntm,15,6,171,83,41.5
ntm,15,7,172,84,42.0
ntm,15,8,173,76,38.0
ntm,15,9,174,44,22.0
ntm,15,10,175,8,4.0
